,GPPractice,depression,alzheimers,blood pressure,hypertension,diabeties,cardiovascular disease,insomnia,addiction,social anxiety,NumberOfPaidItems,loneliness,Date,HBT,Postcode,pcstrip
162,13941,849,25,879,885,150,594,25,0,6,11713,2528,202201,S08000030,PH2 0JB,PH2 0JB
163,13975,303,13,258,263,59,208,48,3,8,4348,897,202201,S08000030,PH1 5PD,PH1 5PD
164,13975,303,13,258,263,59,208,48,3,8,4348,897,202201,S08000030,PH1 5PD,PH1 5PD
165,13975,303,13,258,263,59,208,48,3,8,4348,897,202201,S08000030,PH1 5PD,PH1 5PD
166,14037,1383,58,1508,1522,237,1000,123,3,19,19351,4326,202201,S08000030,PH1 1NU,PH1 1NU
167,14037,1383,58,1508,1522,237,1000,123,3,19,19351,4326,202201,S08000030,PH1 1NU,PH1 1NU
168,14037,1383,58,1508,1522,237,1000,123,3,19,19351,4326,202201,S08000030,PH1 1NU,PH1 1NU
169,14249,809,13,568,573,147,384,65,0,8,9675,1991,202201,S08000030,PH1 1PP,PH1 1PP
170,14249,809,13,568,573,147,384,65,0,8,9675,1991,202201,S08000030,PH1 1PP,PH1 1PP
171,14249,809,13,568,573,147,384,65,0,8,9675,1991,202201,S08000030,PH1 1PP,PH1 1PP
172,14291,737,33,887,889,144,598,28,1,4,11279,2430,202201,S08000030,PH2 8HH,PH2 8HH
173,14291,737,33,887,889,144,598,28,1,4,11279,2430,202201,S08000030,PH2 8HH,PH2 8HH
174,14291,737,33,887,889,144,598,28,1,4,11279,2430,202201,S08000030,PH2 8HH,PH2 8HH
175,14342,646,29,579,582,94,454,89,0,4,8431,1894,202201,S08000030,PH1 5PD,PH1 5PD
176,14342,646,29,579,582,94,454,89,0,4,8431,1894,202201,S08000030,PH1 5PD,PH1 5PD
177,14342,646,29,579,582,94,454,89,0,4,8431,1894,202201,S08000030,PH1 5PD,PH1 5PD
178,14501,402,20,521,523,61,332,33,0,1,6464,1371,202201,S08000030,PH16 5FG,PH16 5FG
179,14501,402,20,521,523,61,332,33,0,1,6464,1371,202201,S08000030,PH16 5FG,PH16 5FG
180,14501,402,20,521,523,61,332,33,0,1,6464,1371,202201,S08000030,PH16 5FG,PH16 5FG
181,14569,279,18,362,363,86,302,13,0,4,4911,1061,202201,S08000030,PH1 4NN,PH1 4NN
182,14569,279,18,362,363,86,302,13,0,4,4911,1061,202201,S08000030,PH1 4NN,PH1 4NN
183,14569,279,18,362,363,86,302,13,0,4,4911,1061,202201,S08000030,PH1 4NN,PH1 4NN
184,16013,358,20,337,340,56,316,33,0,35,5443,1123,202201,S08000016,TD1 1PF,TD1 1PF
185,16013,358,20,337,340,56,316,33,0,35,5443,1123,202201,S08000016,TD1 1PF,TD1 1PF
186,16013,358,20,337,340,56,316,33,0,35,5443,1123,202201,S08000016,TD1 1PF,TD1 1PF
187,16032,854,54,774,774,178,583,74,0,12,10901,2517,202201,S08000016,TD8 6EN,TD8 6EN
188,16032,854,54,774,774,178,583,74,0,12,10901,2517,202201,S08000016,TD8 6EN,TD8 6EN
189,16032,854,54,774,774,178,583,74,0,12,10901,2517,202201,S08000016,TD8 6EN,TD8 6EN
190,16047,256,9,363,366,50,277,12,9,2,4210,979,202201,S08000016,TD9 0RU,TD9 0RU
191,16047,256,9,363,366,50,277,12,9,2,4210,979,202201,S08000016,TD9 0RU,TD9 0RU
192,16047,256,9,363,366,50,277,12,9,2,4210,979,202201,S08000016,TD9 0RU,TD9 0RU
193,16051,623,30,822,825,87,607,60,0,4,9971,2232,202201,S08000016,TD6 0PP,TD6 0PP
194,16051,623,30,822,825,87,607,60,0,4,9971,2232,202201,S08000016,TD6 0PP,TD6 0PP
195,16051,623,30,822,825,87,607,60,0,4,9971,2232,202201,S08000016,TD6 0PP,TD6 0PP
196,16066,784,29,1075,1082,211,783,81,0,19,13697,2970,202201,S08000016,TD11 3XP,TD11 3XP
197,16066,784,29,1075,1082,211,783,81,0,19,13697,2970,202201,S08000016,TD11 3EL,TD11 3EL
198,16066,784,29,1075,1082,211,783,81,0,19,13697,2970,202201,S08000016,TD11 3EL,TD11 3EL
199,16085,814,44,926,931,144,591,88,0,4,11235,2612,202201,S08000016,TD7 4LJ,TD7 4LJ
200,16085,814,44,926,931,144,591,88,0,4,11235,2612,202201,S08000016,TD7 4LJ,TD7 4LJ
201,16085,814,44,926,931,144,591,88,0,4,11235,2612,202201,S08000016,TD7 4LJ,TD7 4LJ
202,16121,376,19,415,416,67,306,40,0,1,5634,1224,202201,S08000016,EH44 6QE,EH44 6QE
203,16121,376,19,415,416,67,306,40,0,1,5634,1224,202201,S08000016,EH44 6QE,EH44 6QE
204,16121,376,19,415,416,67,306,40,0,1,5634,1224,202201,S08000016,EH44 6QE,EH44 6QE
205,16136,1373,93,1437,1453,260,1090,90,0,21,20725,4359,202201,S08000016,TD5 7LF,TD5 7LF
206,16136,1373,93,1437,1453,260,1090,90,0,21,20725,4359,202201,S08000016,TD5 7LF,TD5 7LF
207,16136,1373,93,1437,1453,260,1090,90,0,21,20725,4359,202201,S08000016,TD5 7LF,TD5 7LF
208,16141,655,52,713,720,94,511,88,0,5,9942,2120,202201,S08000016,TD9 9HU,TD9 9HU
209,16141,655,52,713,720,94,511,88,0,5,9942,2120,202201,S08000016,TD9 9HU,TD9 9HU
210,16141,655,52,713,720,94,511,88,0,5,9942,2120,202201,S08000016,TD9 9HU,TD9 9HU
211,16160,491,23,511,513,76,386,34,0,4,7037,1523,202201,S08000016,EH45 8JG,EH45 8JG
212,16160,491,23,511,513,76,386,34,0,4,7037,1523,202201,S08000016,EH45 8JG,EH45 8JG
213,16160,491,23,511,513,76,386,34,0,4,7037,1523,202201,S08000016,EH45 8JG,EH45 8JG
214,16174,328,11,342,344,54,216,36,0,13,4238,989,202201,S08000016,EH46 7EX,EH46 7EX
215,16174,328,11,342,344,54,216,36,0,13,4238,989,202201,S08000016,EH46 7EX,EH46 7EX
216,16174,328,11,342,344,54,216,36,0,13,4238,989,202201,S08000016,EH46 7EX,EH46 7EX
217,16193,348,9,264,265,61,276,24,0,2,4783,983,202201,S08000016,TD1 2UA,TD1 2UA
218,16193,348,9,264,265,61,276,24,0,2,4783,983,202201,S08000016,TD1 2UA,TD1 2UA
219,16193,348,9,264,265,61,276,24,0,2,4783,983,202201,S08000016,TD1 2UA,TD1 2UA
220,16206,434,31,521,525,91,329,18,0,5,6613,1428,202201,S08000016,TD12 4LQ,TD12 4LQ
221,16206,434,31,521,525,91,329,18,0,5,6613,1428,202201,S08000016,TD12 4LQ,TD12 4LQ
222,16206,434,31,521,525,91,329,18,0,5,6613,1428,202201,S08000016,TD12 4LQ,TD12 4LQ
223,16211,445,32,525,528,77,412,43,0,19,7207,1537,202201,S08000016,EH45 8JG,EH45 8JG
224,16211,445,32,525,528,77,412,43,0,19,7207,1537,202201,S08000016,EH45 8JG,EH45 8JG
225,16211,445,32,525,528,77,412,43,0,19,7207,1537,202201,S08000016,EH45 8JG,EH45 8JG
226,16230,632,9,456,461,103,431,49,0,3,7672,1685,202201,S08000016,TD1 2UA,TD1 2UA
227,16230,632,9,456,461,103,431,49,0,3,7672,1685,202201,S08000016,TD1 2UA,TD1 2UA
228,16230,632,9,456,461,103,431,49,0,3,7672,1685,202201,S08000016,TD1 2UA,TD1 2UA
229,16244,262,2,164,164,33,113,35,0,2,3167,609,202201,S08000016,TD1 2UA,TD1 2UA
230,16244,262,2,164,164,33,113,35,0,2,3167,609,202201,S08000016,TD1 2UA,TD1 2UA
231,16244,262,2,164,164,33,113,35,0,2,3167,609,202201,S08000016,TD1 2UA,TD1 2UA
232,16259,504,20,566,572,103,427,48,0,5,7256,1674,202201,S08000016,TD1 2UA,TD1 2UA
233,16259,504,20,566,572,103,427,48,0,5,7256,1674,202201,S08000016,TD1 2UA,TD1 2UA
234,16259,504,20,566,572,103,427,48,0,5,7256,1674,202201,S08000016,TD1 2UA,TD1 2UA
235,16282,332,8,367,370,72,285,16,0,7,5437,1083,202201,S08000016,TD11 3EL,TD11 3EL
236,16282,332,8,367,370,72,285,16,0,7,5437,1083,202201,S08000016,TD11 3EL,TD11 3EL
237,16282,332,8,367,370,72,285,16,0,7,5437,1083,202201,S08000016,TD11 3EL,TD11 3EL
238,16475,258,6,174,175,29,135,13,0,4,2482,616,202201,S08000016,TD10 6XJ,TD10 6XJ
239,16475,258,6,174,175,29,135,13,0,4,2482,616,202201,S08000016,TD10 6XJ,TD10 6XJ
240,16475,258,6,174,175,29,135,13,0,4,2482,616,202201,S08000016,TD10 6XJ,TD10 6XJ
241,16507,868,18,1082,1090,173,764,35,0,10,11573,2948,202201,S08000016,TD14 5DD,TD14 5DD
242,16507,868,18,1082,1090,173,764,35,0,10,11573,2948,202201,S08000016,TD14 5DD,TD14 5DD
243,16507,868,18,1082,1090,173,764,35,0,10,11573,2948,202201,S08000016,TD14 5DD,TD14 5DD
