,postcode,loneliness_zscore,ranked,deciles
461,IV38HH,-2.0171268924594874,157.0,2
462,IV38PB,-3.4448455987966375,48.0,0
463,IV408AE,-2.6451491088988757,100.0,1
464,IV408JD,0.6786017659142387,491.0,6
465,IV478ST,2.208783836667547,611.0,8
466,IV47DJ,-2.5071391123364855,109.0,1
467,IV47EA,-1.8361073076450491,184.0,2
468,IV499AA,3.367339442730601,662.0,8
469,IV519BZ,-2.472638460412848,111.0,1
470,IV548LS,-2.3243415033967345,124.0,1
471,IV548YD,2.715014907493241,640.0,8
472,IV558GU,-1.3333046146925187,233.0,3
473,IV636UL,-3.6645182774604503,34.0,0
474,IV88NG,-2.5304313649282117,106.0,1
475,KA106BQ,-0.20119383545364294,382.0,5
476,KA106QR,-0.297208276069288,372.0,5
477,KA111JU,-3.0174835155081396,75.0,1
478,KA11RU,3.6639027258371195,672.0,9
479,KA120AY,-1.5337471427432443,213.0,2
480,KA128TJ,-0.8744475512839488,292.0,3
481,KA129DY,-3.1666026076191414,64.0,0
482,KA12BD,-1.3279558609805822,235.0,3
483,KA12DJ,1.790505180378169,593.0,8
484,KA12DL,-0.014229538558132249,410.0,5
485,KA136BL,-0.35540488998939757,361.0,4
486,KA136EH,-0.7415355749342444,307.0,4
487,KA152AE,0.5370039247346626,478.0,6
488,KA170HD,-2.2931300975341955,129.0,1
489,KA181BF,-1.6704660830139757,197.0,2
490,KA182AY,-1.4357362455301892,223.0,3
491,KA184BA,-3.792042851379729,28.0,0
492,KA197BY,1.0871886415757395,533.0,7
493,KA203AB,-1.4662651842467134,218.0,2
494,KA20LE,0.8705793587899866,517.0,7
495,KA215LX,-0.5598973995763639,331.0,4
496,KA227DX,-0.09623135455016621,397.0,5
497,KA228BS,-0.21288323029774953,378.0,5
498,KA244AF,2.623182939220962,637.0,8
499,KA256HS,-3.3205568868156172,52.0,0
500,KA260NB,0.7336758686068447,495.0,6
501,KA269HQ,-1.7342388621316895,193.0,2
502,KA269SH,0.776319507211759,503.0,6
503,KA278NS,3.0735317879021213,649.0,8
504,KA280DE,-1.823931594182995,186.0,2
505,KA29HF,4.1307714902429815,685.0,9
506,KA308LH,-1.0671852047660106,262.0,3
507,KA35BP,-1.913912805939188,175.0,2
508,KA37AE,1.459106412537774,565.0,7
509,KA48HW,0.133259735076957,429.0,5
510,KA56RU,-2.264731191841157,134.0,1
511,KA66AB,-8.148222028044655,1.0,0
512,KA67AY,-3.2988746299955665,55.0,0
513,KA67LX,-2.695911493729138,94.0,1
514,KA67QL,-0.32623222156734544,367.0,4
515,KA71BJ,-1.6332807964917757,201.0,2
516,KA71UL,-0.8801168507937893,290.0,3
517,KA71UQ,-3.60835916904419,38.0,0
518,KA72AQ,-0.5235727313785539,338.0,4
519,KA72DF,-0.33571541771779767,365.0,4
520,KA73PR,-4.535072589996115,13.0,0
521,KA88DD,-2.1256476541142115,145.0,1
522,KA91AQ,-1.6096053794318923,204.0,2
523,KA91AW,-1.524596373278674,214.0,2
524,KW106TH,-0.021396213355785093,408.0,5
525,KW147AR,4.757831017293925,697.0,9
526,KW147DH,4.952361171125907,700.0,9
527,KW147SA,5.668115479185059,708.0,9
528,KW148TY,7.633467686807355,728.0,9
529,KW151NZ,1.1806118351745107,546.0,7
530,KW15EL,-0.7957680868275567,301.0,4
531,KW163AD,-2.0457663210676498,154.0,2
532,KW172HH,6.521117333990183,721.0,9
533,KW172PU,2.723851948284152,641.0,8
534,KW172SN,3.616884795255653,670.0,9
535,KW36BQ,6.085598020287318,714.0,9
536,KW66EZ,2.2121618794476676,612.0,8
537,KW96QJ,-1.419975915315021,226.0,3
538,KY102LG,-0.36051536876023593,358.0,4
539,KY103FF,-0.7343438746042558,308.0,4
540,KY111NU,-1.8954726842454286,179.0,2
541,KY112SE,-0.5685549358813508,327.0,4
542,KY112ZL,0.8798366719926756,518.0,7
543,KY113BA,2.850101735576099,644.0,8
544,KY113ED,-1.6552801143884617,200.0,2
545,KY114JW,-0.4114494832746529,350.0,4
546,KY114LT,-2.6784517535632593,95.0,1
547,KY114TF,-2.280702623512778,132.0,1
548,KY11ER,1.8091393029356997,594.0,8
549,KY11PH,-3.015661606190465,76.0,1
550,KY120AE,-1.9303632279926364,169.0,2
551,KY120BL,-0.09847122596538646,395.0,5
552,KY128SJ,2.4631567882921646,627.0,8
553,KY129QH,-1.9612882711696318,167.0,2
