dz11_code,loneliness_zscore,rank,deciles
S01006618,2.0845868840309856,6455.0,10
S01006619,2.1923728190897163,6507.0,10
S01006620,2.125994469431077,6472.0,10
S01006621,2.1043596886991685,6465.0,10
S01006622,2.082844058664837,6454.0,10
S01006623,2.378929792770557,6582.0,10
S01006624,2.463563085233892,6609.0,10
S01006625,2.425075278801013,6599.0,10
S01006626,2.566149417801246,6642.0,10
S01006627,2.5792686516495875,6646.0,10
S01006628,2.560218928969569,6641.0,10
S01006629,2.5389991745752125,6637.0,10
S01006630,2.4396813372131763,6602.0,10
S01006631,2.8288512241494743,6695.0,10
S01006632,2.6855720071050353,6672.0,10
S01006633,2.635485693878344,6659.0,10
S01006634,2.6797709869871524,6669.0,10
S01006635,2.764138972624439,6685.0,10
S01006636,,,
S01006637,3.7089294166921207,6775.0,10
S01006638,4.429794228511412,6795.0,10
S01006639,5.913682673285448,6800.0,10
S01006640,3.708317097456195,6774.0,10
S01006641,3.7110501743238973,6776.0,10
S01006642,6.656635252842982,6803.0,10
S01006643,,,
S01006644,3.062685482359509,6732.0,10
S01006645,,,
S01006646,6.215381498393579,6801.0,10
S01006647,,,
S01006648,3.886436882966908,6788.0,10
S01006649,3.1570580572104676,6742.0,10
S01006650,2.1880281798896317,6505.0,10
S01006651,2.910045131795452,6707.0,10
S01006652,4.074874135523036,6790.0,10
S01006653,2.5590370351595184,6640.0,10
S01006654,2.529537846445457,6629.0,10
S01006655,2.6709074090507325,6665.0,10
S01006656,2.9941691083315085,6723.0,10
S01006657,2.5241376419524086,6627.0,10
S01006658,3.060126099706707,6731.0,10
S01006659,2.7428079598251243,6683.0,10
S01006660,2.531172560989543,6631.0,10
S01006661,3.399684527002247,6761.0,10
S01006662,2.604240617040641,6655.0,10
S01006663,,,
S01006664,3.10640089597359,6738.0,10
S01006665,3.0810727470761723,6735.0,10
S01006666,2.964302293434251,6720.0,10
S01006667,2.3724881872820407,6577.0,10
S01006668,2.694153136290602,6673.0,10
S01006669,1.5939207863486002,6122.0,9
S01006670,3.0375510027174166,6728.0,10
S01006671,2.335873730412122,6569.0,10
S01006672,2.1022125825138396,6463.0,10
S01006673,2.271842464556453,6546.0,10
S01006674,2.556635430597751,6639.0,10
S01006675,2.2606205421186667,6540.0,10
S01006676,2.214180647888966,6518.0,10
S01006677,2.398487192740813,6588.0,10
S01006678,2.1549459376744275,6485.0,10
S01006679,1.6867400575788112,6180.0,10
S01006680,1.9191342092190078,6350.0,10
S01006681,1.8339858408675445,6289.0,10
S01006682,2.0271263461672997,6418.0,10
S01006683,2.3217351060573357,6564.0,10
S01006684,,,
S01006685,1.868550064140461,6321.0,10
S01006686,2.0345463953139675,6422.0,10
S01006687,1.983202228122508,6399.0,10
S01006688,2.1756315685180887,6497.0,10
S01006689,2.3469002309840112,6571.0,10
S01006690,1.9885916546883065,6401.0,10
S01006691,2.5138984542750795,6626.0,10
S01006692,2.416151078111172,6593.0,10
S01006693,1.6551655517925061,6160.0,10
S01006694,2.173354957935576,6495.0,10
S01006695,2.2211789368451598,6521.0,10
S01006696,2.141722291432192,6482.0,10
