iz11_code,loneliness_zscore,rank,deciles
S02001969,-1.0080980339350238,446.0,3
S02001970,-1.0846118527613988,421.0,3
S02001971,-1.7316929450443932,202.0,1
S02001972,-1.7105713681634473,207.0,1
S02001973,-0.8860708092451536,493.0,3
S02001974,-1.654549614847083,217.0,1
S02001975,-1.526163770561407,245.0,1
S02001976,-1.6347309438010558,222.0,1
S02001977,-1.5965701589192147,226.0,1
S02001978,3.994023100183741,1269.0,9
S02001979,-1.0787929031162677,422.0,3
S02001980,3.4068600237751094,1255.0,9
S02001981,2.7583587996885823,1243.0,9
S02001982,0.5553100484411837,986.0,7
S02001983,-0.46903906870023887,696.0,5
S02001984,-0.057736017598147144,819.0,6
S02001985,-1.1213373019361617,403.0,3
S02001986,-0.863738375338411,505.0,3
S02001987,-0.8722610239447451,502.0,3
S02001988,-1.1974388983776474,353.0,2
S02001989,-2.110845361978181,109.0,0
S02001990,-2.265445491215306,83.0,0
S02001991,-2.109523206109141,110.0,0
S02001992,-2.3319379692392608,73.0,0
S02001993,-1.8574454102901379,171.0,1
S02001994,-1.8728002364028433,166.0,1
S02001995,-1.8463599699048916,175.0,1
S02001996,-3.3011168438961556,14.0,0
S02001997,-3.6585860127043115,11.0,0
S02001998,-1.4183683220977976,294.0,2
S02001999,-0.9514458498258443,464.0,3
S02002000,-1.7055913195238768,209.0,1
S02002001,-1.296971519411603,326.0,2
S02002002,-1.4616487119886394,268.0,2
S02002003,-1.7467343179118482,199.0,1
S02002004,-1.8144394552987297,182.0,1
S02002005,-0.7887441535836422,538.0,4
S02002006,0.22105429762499854,891.0,6
S02002007,1.14725550683711,1090.0,8
S02002008,1.9837039746725078,1184.0,9
S02002009,0.48724560145880164,961.0,7
S02002010,0.12716573043707793,864.0,6
S02002011,1.2801701550724474,1109.0,8
S02002012,-0.018848365372758923,833.0,6
S02002013,-0.8023107158819294,534.0,4
S02002014,-0.6548076373550505,606.0,4
S02002015,-1.8979254620334471,155.0,1
S02002016,-1.9431877544254779,140.0,1
S02002017,-2.0302587076574743,126.0,0
S02002018,-1.7369276403141858,201.0,1
S02002019,-1.5234780702147754,247.0,1
S02002020,-1.4507719804069876,273.0,2
S02002021,-1.1665625443857464,372.0,2
S02002022,-0.06360231181686218,817.0,6
S02002023,-0.11712883147170292,808.0,6
S02002024,1.8376088950896237,1174.0,9
S02002025,1.3399948324268935,1119.0,8
S02002026,3.0179025858036126,1252.0,9
S02002027,-0.11048111813498569,810.0,6
S02002028,0.10873957583512348,858.0,6
S02002029,3.673046745878393,1264.0,9
S02002030,4.073523512191096,1270.0,9
S02002031,4.737825182337346,1273.0,9
S02002032,4.743185311443529,1274.0,9
S02002033,2.6403942993575447,1239.0,9
S02002034,0.05572398738934473,845.0,6
S02002035,-0.6470979974566734,610.0,4
S02002036,0.4980174247135631,966.0,7
S02002037,0.00690343072411416,838.0,6
S02002038,-0.03277573507016204,827.0,6
S02002039,-0.3404101206573389,744.0,5
S02002040,-0.3555193724314802,738.0,5
S02002041,-0.8785178670124698,499.0,3
S02002042,-0.9149615636442315,480.0,3
S02002043,-1.4499525358260152,274.0,2
S02002044,-1.2221950731467823,350.0,2
S02002045,-1.4420379829048304,278.0,2
S02002046,-1.168786688860685,370.0,2
S02002047,-0.803207307459763,533.0,4
S02002048,-0.607050854100101,627.0,4
S02002049,-1.1475144559986892,384.0,2
S02002050,-1.0731415798049515,425.0,3
S02002051,1.200460162905922,1100.0,8
S02002052,2.4964951729438405,1233.0,9
S02002053,2.3330873761015103,1224.0,9
S02002054,2.517652859093374,1235.0,9
S02002055,2.522054258986003,1236.0,9
S02002056,1.3943538112574152,1128.0,8
S02002057,0.8639252561002047,1047.0,8
S02002058,0.4131782498769223,945.0,7
S02002059,-0.3266732638195255,751.0,5
S02002060,0.22004392568259648,890.0,6
S02002061,-0.12727103113952126,804.0,6
S02002062,0.2501781788609769,900.0,7
S02002063,0.2772506241472139,906.0,7
S02002064,0.11738142113075442,860.0,6
S02002065,0.437277905319377,953.0,7
S02002066,0.9889716408470237,1063.0,8
S02002067,0.21415043265011366,887.0,6
S02002068,-0.05178100173124198,822.0,6
S02002069,-0.28556021900335826,761.0,5
S02002070,-0.3732594860134758,733.0,5
S02002071,0.31231603499691973,913.0,7
S02002072,0.5830118581187863,992.0,7
S02002073,0.17743472990307718,879.0,6
S02002074,0.3614058336748313,926.0,7
S02002075,0.5062040312824487,968.0,7
S02002076,1.1785990578690513,1093.0,8
S02002077,0.34721188369575107,920.0,7
S02002078,-0.14590763407548824,798.0,6
S02002079,-0.4548730681288557,701.0,5
S02002080,1.0862701658345295,1084.0,8
S02002081,1.4501678909504945,1132.0,8
S02002082,0.22536125580367292,893.0,6
S02002083,0.15601720880108336,873.0,6
S02002084,-0.7498081573245727,556.0,4
S02002085,-1.3929447495978746,301.0,2
S02002086,-0.8567800830533132,510.0,3
S02002087,-0.05123588714288765,823.0,6
S02002088,-0.17385596799650282,789.0,6
S02002089,-0.11044640380969778,811.0,6
S02002090,0.09730517192827726,856.0,6
S02002091,0.08397432701091506,854.0,6
S02002092,0.05937241879681869,848.0,6
S02002093,0.024616273802911256,840.0,6
S02002094,0.23578767015353475,897.0,7
S02002095,0.45734586148152884,957.0,7
S02002096,-0.1298171121361094,802.0,6
S02002097,0.5106632756493497,969.0,7
S02002098,-0.33103308307878854,748.0,5
S02002099,-0.7856694001697145,540.0,4
S02002100,-0.6297805770411486,616.0,4
S02002101,-1.1240832521146238,399.0,3
S02002102,-1.6482917479127923,219.0,1
S02002103,-1.9296317540253172,143.0,1
S02002104,-1.1887579958778092,359.0,2
S02002105,-1.2372674517585531,344.0,2
S02002106,-1.7056589776260491,208.0,1
S02002107,-1.4851902084361237,260.0,2
S02002108,-1.225818813866864,349.0,2
S02002109,-0.9000244574208514,485.0,3
S02002110,-0.7306920956159348,568.0,4
S02002111,-0.34985265561223083,742.0,5
S02002112,-0.23195826824879154,772.0,6
S02002113,-0.1896246824316299,779.0,6
S02002114,-0.18574882290283282,784.0,6
S02002115,-0.30560569642346164,757.0,5
S02002116,-0.42598243566015626,716.0,5
S02002117,-0.8178182465203512,527.0,4
S02002118,-0.7626873613229407,552.0,4
S02002119,-0.5187088455066694,668.0,5
S02002120,-0.5287291926376726,662.0,5
S02002121,-0.5300109507682179,660.0,5
S02002122,-0.4540370647999927,702.0,5
S02002123,-0.5488814706257319,649.0,5
S02002124,0.6135465145430018,1000.0,7
S02002125,-0.5060335197657687,675.0,5
S02002126,-0.5034650505859524,677.0,5
S02002127,-0.3916157724704411,729.0,5
S02002128,-0.9446081600812188,467.0,3
S02002129,-0.3037268468646973,758.0,5
S02002130,-0.5086271364543742,672.0,5
S02002131,-2.202597242866149,88.0,0
S02002132,-2.4930804767773203,51.0,0
S02002133,-0.6954329345385996,576.0,4
S02002134,-0.9682725588142448,460.0,3
S02002135,-0.44783100527790326,706.0,5
S02002136,-0.5886886259832556,632.0,4
S02002137,-0.5385627835627989,655.0,5
S02002138,-0.7780288076030656,546.0,4
S02002139,-0.8721907775036494,503.0,3
S02002140,-1.2278831331996078,348.0,2
S02002141,-1.3353306088213042,317.0,2
S02002142,-1.525570414241112,246.0,1
S02002143,-1.1751094220592857,368.0,2
S02002144,-0.9181317711114504,479.0,3
S02002145,-0.5664182190220418,643.0,5
S02002146,-1.7488584197237147,197.0,1
S02002147,-3.791942780403308,10.0,0
S02002148,-3.1178873456770453,20.0,0
S02002149,-1.548959579519502,240.0,1
S02002150,-1.0129869028676841,442.0,3
S02002151,-1.1941359053580687,354.0,2
S02002152,-1.117743844305983,404.0,3
S02002153,-0.5057009052313021,676.0,5
S02002154,-0.8094113437803103,532.0,4
S02002155,-1.027382548689926,437.0,3
S02002156,-0.6742439802612998,592.0,4
S02002157,-0.44233682589164314,709.0,5
S02002158,-0.632358709446115,615.0,4
S02002159,-0.6898990525548699,584.0,4
S02002160,-0.3342582575899504,745.0,5
S02002161,-1.041300953114171,433.0,3
S02002162,-0.9474871207569899,466.0,3
S02002163,-1.1719688385218012,369.0,2
S02002164,-1.0690393425715743,429.0,3
S02002165,-1.150070821006975,382.0,2
S02002166,-0.7453378778000388,559.0,4
S02002167,-0.547179865529285,651.0,5
S02002168,-0.8917005458481647,491.0,3
S02002169,-0.7843633432804887,541.0,4
S02002170,-0.33368717571029655,746.0,5
S02002171,-0.06749302860820852,816.0,6
S02002172,-0.12827534109515967,803.0,6
S02002173,-0.2371535073062527,770.0,6
S02002174,-0.46562527995607395,697.0,5
S02002175,-0.22560294858766228,774.0,6
S02002176,-0.356072968094232,737.0,5
S02002177,-0.4703425894860627,694.0,5
S02002178,-0.5099281146951499,671.0,5
S02002179,-0.573050688386353,640.0,4
S02002180,-0.6166411967819195,621.0,4
S02002181,-0.6174461825298996,620.0,4
S02002182,-0.6124746805808666,623.0,4
S02002183,-0.5792949647443996,635.0,4
S02002184,-0.5838543863589817,633.0,4
S02002185,-0.5721330145635142,641.0,5
S02002186,-0.49005275240035207,681.0,5
S02002187,-0.531648253636109,659.0,5
S02002188,-0.5994899433727906,630.0,4
S02002189,-0.5658441904998437,644.0,5
S02002190,-0.9371013250533192,469.0,3
S02002191,-0.6112465515037507,624.0,4
S02002192,-0.5233298444342519,665.0,5
S02002193,-2.307873926067347,76.0,0
S02002194,-1.8560383486771141,173.0,1
S02002195,-1.1371200243904511,393.0,3
S02002196,-1.0024222641345173,449.0,3
S02002197,-0.7646867335183704,550.0,4
S02002198,-0.7828985644395096,543.0,4
S02002199,-0.6952265201512836,577.0,4
S02002200,-0.9235369808703952,476.0,3
S02002201,-0.8389703325287166,518.0,4
S02002202,-1.9501245457822531,139.0,1
S02002203,-1.9425940678191131,141.0,1
S02002204,-0.5401144698854797,654.0,5
S02002205,0.14365630289115242,869.0,6
S02002206,-0.9029427936337721,484.0,3
S02002207,-1.3088850647236026,321.0,2
S02002208,-1.0928074406457609,418.0,3
S02002209,-0.8819634320368686,497.0,3
S02002210,-0.898230243319054,486.0,3
S02002211,-0.9394455719133723,468.0,3
S02002212,-1.150350203156352,381.0,2
S02002213,1.7447923647420707,1167.0,9
S02002214,3.647612591181862,1261.0,9
S02002215,2.4575817078539335,1232.0,9
S02002216,1.5883189407872405,1150.0,8
S02002217,1.7108060540140353,1164.0,9
S02002218,3.485360041844363,1257.0,9
S02002219,-1.0177001932076744,441.0,3
S02002220,0.5607437286974062,987.0,7
S02002221,-0.416284507669044,718.0,5
S02002222,0.6158906158550488,1001.0,7
S02002223,2.2254582350737206,1214.0,9
S02002224,1.1157141359037854,1085.0,8
S02002225,-0.27594866270895635,762.0,5
S02002226,-0.3193033670998712,752.0,5
S02002227,0.7086789236954912,1026.0,8
S02002228,0.056408183461745004,846.0,6
S02002229,-0.2519930056320061,766.0,5
S02002230,0.4206355747615978,946.0,7
S02002231,0.3575181909021971,924.0,7
S02002232,0.5017503555658469,967.0,7
S02002233,0.5200943399384107,974.0,7
S02002234,0.5428037637587796,985.0,7
S02002235,0.541175872285715,982.0,7
S02002236,0.5835707160300344,993.0,7
S02002237,0.6213287486578748,1003.0,7
S02002238,0.9031869444263783,1051.0,8
S02002239,0.4347582360039238,952.0,7
S02002240,0.51728357217013,972.0,7
S02002241,0.5355084447032589,980.0,7
S02002242,0.5633595307758348,988.0,7
S02002243,1.4618508838673339,1135.0,8
S02002244,0.1277771780237071,865.0,6
S02002245,0.5335639039911294,978.0,7
S02002246,0.19174293887260904,881.0,6
S02002247,0.8214180800173078,1040.0,8
S02002248,1.3164166129846455,1112.0,8
S02002249,1.3908680093606527,1126.0,8
S02002250,0.6711790857527246,1019.0,7
S02002251,0.682713025286687,1021.0,7
S02002252,0.9652564924972423,1056.0,8
S02002253,1.6573976878794405,1160.0,9
S02002254,-1.1286929866208522,396.0,3
S02002255,-1.2909253804416572,329.0,2
S02002256,-0.9942540226838956,450.0,3
