sdz21_code,loneliness_zscore,rank,deciles
N21000183,-1.5693541345582804,138.0,1.0
N21000184,-0.712916119249788,264.0,3.0
N21000185,-0.30330680423775297,386.0,4.0
N21000186,-1.4178473430094094,155.0,1.0
N21000187,-0.5990552391128049,292.0,3.0
N21000188,-1.9400721260892368,86.0,1.0
N21000189,-1.5885934651918199,135.0,1.0
N21000190,-1.769224104432464,105.0,1.0
N21000191,-1.9565599383489811,82.0,0.0
N21000192,-1.1230487882142037,190.0,2.0
N21000193,-1.9889534704169853,80.0,0.0
N21000194,-1.3929023765078548,161.0,1.0
N21000195,-1.5663081041529796,139.0,1.0
N21000196,-1.7749818275404026,103.0,1.0
N21000197,1.7602708496661088,722.0,8.0
N21000198,1.5969625006467216,697.0,8.0
N21000199,1.7965868680587285,725.0,8.0
N21000200,1.4638244309718471,671.0,7.0
N21000201,1.3638606936437074,655.0,7.0
N21000202,1.9975497103790345,746.0,8.0
N21000203,1.4949128564392802,673.0,7.0
N21000204,2.95463729038537,817.0,9.0
N21000205,1.3152979813428618,644.0,7.0
N21000206,1.6791328764070352,711.0,8.0
N21000207,2.355757429835535,773.0,9.0
N21000208,1.99710498875817,745.0,8.0
N21000209,2.8295229563896007,808.0,9.0
N21000210,1.5774187763376062,691.0,8.0
N21000211,1.6604116839305672,709.0,8.0
N21000212,2.6081857665950388,791.0,9.0
N21000213,2.0652931709263975,753.0,8.0
N21000214,2.119559450230916,758.0,8.0
N21000215,1.9091502704406464,737.0,8.0
N21000216,1.7559594888973298,719.0,8.0
N21000217,2.524210664225513,785.0,9.0
N21000218,2.223686685832601,765.0,9.0
N21000219,1.860395880418838,733.0,8.0
N21000220,1.773739429208904,723.0,8.0
N21000221,2.182107447530723,762.0,8.0
N21000222,1.559728589064095,687.0,8.0
N21000223,1.6135452310815268,698.0,8.0
N21000224,1.5696364790952824,689.0,8.0
N21000225,1.624770500704508,703.0,8.0
N21000226,1.621157694048058,702.0,8.0
N21000227,1.879074078595452,735.0,8.0
N21000228,1.5871873655870166,694.0,8.0
N21000229,2.0754100440854653,755.0,8.0
N21000230,1.7483602585520988,718.0,8.0
N21000231,1.84154611894036,729.0,8.0
N21000232,1.6404284497049608,705.0,8.0
