postcode,loneliness_zscore
CH40NR,0.362065649315761
LL137DE,2.1747784413108815
LL170LU,0.011932818996834904
LL145DH,0.5793600368600701
LL120TR,1.5551435753681686
LL130ED,0.7452524053881959
LL163TH,3.325559393565604
LL199LN,-0.3755176632854492
CH87GA,1.3007581743523313
LL138DB,1.1517322114382842
LL297LS,0.2629490810479536
CH65UZ,0.019768536245671847
LL163AU,0.5337731945519875
LL151PS,-0.18680850589905149
CH51QT,-0.36698819031876717
CH87TR,1.8336496014421435
LL228LJ,0.426967171375877
CH51QA,0.8848179754783999
CH54PJ,0.4403310654926445
LL137BS,2.4690179132776544
LL146NH,0.7442884000513363
CH74RQ,3.8476794152379723
CH65ER,0.260380191689788
LL210DN,-0.7033327782304915
LL297LS,-0.758408406552541
CH51SY,1.8285579680214668
LL184RS,-0.024327549826240663
CH65ER,1.37756187065932
LL113NS,7.368150134768044
LL163UW,2.477163880935704
LL138RG,3.121074697075137
LL141AA,2.5336951040647877
CH54PJ,1.9856037596291927
SY133DL,7.541477788493288
LL129LG,2.8542049474742464
LL143AB,9.300082635091453
LL181LR,1.8172755424493212
LL181LT,-0.20283848244906572
LL163BL,2.719475714798637
LL138TH,2.479606837271164
CH87TZ,1.5373046830465589
SA611QX,0.6235279174970006
SA174UL,0.13535864160047512
SA459PB,1.7868417266604382
SY245JE,0.76594694726746
SA334AA,1.4483350481472441
SA732JW,2.119266541645824
SA196HN,0.5883574400305404
SA155TR,0.45600079053357634
SY232DX,2.0344907412227338
SA659BT,1.1486156041423636
SA311EX,1.5227373694227797
SA389NS,0.3355724586208303
SA444JX,0.3846076145715218
SA153AE,0.0771184628626296
SA460DY,-0.15595209334962568
SA340AJ,2.0552633186299616
SY233DU,1.4333364457717594
SY233TL,-1.3245552381253112
SA708AB,0.7930624212857447
SA160BN,0.16308727321691557
SA699JW,4.107294337797761
SA146DP,1.216272110449279
SA182DA,0.2150652144696479
SA152TJ,0.20656064360903087
SA677AA,1.03836906625756
SA487AA,0.6324922191042638
SA182PJ,0.45986303185243926
SA732JW,0.6022255104163594
SA611RN,0.8367362288241786
SA431JX,2.1651606518376503
SA155HU,0.23223370395353454
SA148TU,0.17721218002110917
SA311AH,1.2925178608169359
SA147RP,1.151855747254549
SA153BD,-0.053316076751384056
SY256HA,-0.030061805164968813
SA200HY,0.6796606318608529
SY234PA,0.9322560467449379
SA626SS,2.213475177346401
SA626TW,1.1541384113677773
SA640BN,-4.439513713237055
SA327LG,0.8778526089645639
SA420TJ,1.4937953386007226
SA731SH,2.545685100930081
SY231HB,-6.212190531308178
SA313AX,0.583482860704841
NP115GX,2.3563807690680783
NP75DL,1.975287899210478
NP131BQ,1.467190437060849
NP132AB,2.1757958825500356
NP120QN,-10.74992732033407
NP122YU,1.2120888779461527
NP122YU,2.5780265989446756
NP123NA,2.6121496028691955
NP49AW,0.47443145983845925
NP181AZ,1.6599612069368286
