lsoa21_code,loneliness_zscore,rank,deciles
W01000192,-1.898283437145139,190.0,0.0
W01000193,-4.185291102599135,47.0,0.0
W01000194,2.0260140269003353,1714.0,8.0
W01000195,1.8075717735454944,1621.0,8.0
W01000196,1.7223837516812526,1586.0,8.0
W01000197,1.50135913838816,1520.0,7.0
W01000198,2.712642929260596,1853.0,9.0
W01000199,1.7027224886737844,1583.0,8.0
W01000200,-1.4191908829971962,266.0,1.0
W01000201,-1.2216491191692567,311.0,1.0
W01000202,-1.0025646311446055,369.0,1.0
W01000203,2.6282626709588195,1840.0,9.0
W01000204,1.2042686860040952,1410.0,7.0
W01000205,-2.2466402562814185,161.0,0.0
W01000206,1.2994486849892664,1445.0,7.0
W01000207,-0.703052472071262,447.0,2.0
W01000208,2.3080629653396203,1786.0,9.0
W01000209,2.2125330362888027,1772.0,9.0
W01000210,3.2108817076210343,1889.0,9.0
W01000211,0.5205799542845432,952.0,4.0
W01000212,-0.5781545344489414,486.0,2.0
W01000213,-0.5055381461284907,509.0,2.0
W01000214,-0.6030347764006597,475.0,2.0
W01000215,-0.5179579098185288,503.0,2.0
W01000216,-0.592263912998743,478.0,2.0
W01000217,-0.745297007801752,438.0,2.0
W01000218,-0.5680595040592941,488.0,2.0
W01000219,-0.8126337282532367,417.0,2.0
W01000220,-1.0678024152381984,344.0,1.0
W01000221,-0.739782036178795,439.0,2.0
W01000222,-0.936742055971859,383.0,2.0
W01000223,-1.6287499363492925,221.0,1.0
W01000224,-1.9454386203642537,184.0,0.0
W01000225,-2.6102711786951422,131.0,0.0
W01000226,-1.2725900319945007,296.0,1.0
W01000227,-1.4298178235679913,264.0,1.0
W01000228,-1.8632366117048969,193.0,1.0
W01000229,-1.1387064904040085,328.0,1.0
W01000230,-0.9147320423276429,394.0,2.0
W01000231,-1.2185145640055168,312.0,1.0
W01000232,-1.0826651427649183,338.0,1.0
W01000233,-0.8627714315325488,404.0,2.0
W01000234,-1.1239860587977961,332.0,1.0
W01000235,-1.1823746408939624,319.0,1.0
W01000236,-0.9199474728920551,393.0,2.0
W01000237,-0.4556179957705788,525.0,2.0
W01000238,-0.7934867015747226,420.0,2.0
W01000239,-0.7766927330566591,425.0,2.0
W01000240,-3.179929444744367,97.0,0.0
W01000241,0.7248785970621973,1073.0,5.0
