"lsoa21_code","perc"
"E01000127",30.2493288888857
"E01000128",29.5458981816463
"E01000129",29.9676633591564
"E01000130",31.1624704968154
"E01000131",26.7445569452285
"E01000132",29.9165545950999
"E01000133",30.6641041361292
"E01000134",28.8153848953025
"E01000135",23.1289244726243
"E01000136",23.2796613238195
"E01000137",32.4022827116765
"E01000138",24.4773663640736
"E01000139",24.5325047713001
"E01000140",27.7288756420264
"E01000141",29.6315546864485
"E01000142",27.57711441524
"E01000143",31.3846926724313
"E01000144",23.2374186862639
"E01000145",23.0796089209699
"E01000146",27.7288756420264
"E01000147",23.0796089209699
"E01000150",24.2332967455629
"E01000151",32.3581719858953
"E01000152",31.1081013116505
"E01000153",28.8494574046735
"E01000154",30.0017358685274
"E01000156",25.8979503577266
"E01000157",28.2225837182549
"E01000158",24.4640343104814
"E01000159",25.2236312289312
"E01000160",24.0810831889596
"E01000161",25.4436947228217
"E01000162",25.1003243149313
"E01000163",30.553525889051
"E01000164",30.4760679362528
"E01000165",24.2419256012341
"E01000166",23.5004743710588
"E01000167",31.1624704968154
"E01000168",20.7423865989678
"E01000169",26.4274417287243
"E01000170",28.0104629061099
"E01000171",29.0911112104358
"E01000172",24.1976840955309
"E01000173",24.6331898847809
"E01000174",29.0582523619253
"E01000175",24.3422052712366
"E01000176",29.2349595866972
"E01000177",24.775086118786
"E01000178",25.3382528279469
"E01000179",24.9089818630966
"E01000180",27.1719654806594
"E01000181",23.1190613622934
"E01000182",24.7811483752934
"E01000183",25.1231089427353
"E01000184",30.5821031826714
"E01000185",31.7501729034584
"E01000186",19.7334205053971
"E01000187",24.0197727350092
"E01000188",19.7334205053971
"E01000189",30.6838610999158
"E01000190",21.9304056825987
"E01000191",22.0318269821396
"E01000192",24.4640343104814
"E01000193",21.9304056825987
"E01000194",24.8101406578593
"E01000195",29.0816043303311
"E01000196",25.1483115258218
"E01000197",25.4436947228217
"E01000198",23.0796089209699
"E01000199",24.8404315955171
"E01000200",25.117294622207
"E01000201",22.0318269821396
"E01000202",24.3625150821902
"E01000203",26.7226782174584
"E01000204",23.0796089209699
"E01000205",24.3422052712366
"E01000206",23.3838728195925
"E01000207",23.4848370898025
"E01000208",22.2808358112291
"E01000209",25.8018121965604
"E01000210",23.5816114106915
"E01000211",27.0197519240562
"E01000212",25.1600078834521
"E01000213",21.0848950561864
"E01000214",23.6582841363528
"E01000215",24.3230626408668
"E01000216",25.4042422814982
"E01000217",23.2303457721652
"E01000218",26.0347161732846
"E01000219",23.0796089209699
"E01000220",24.5325047713001
"E01000221",29.6689615747417
"E01000222",25.1003243149313
"E01000223",30.2493288888857
"E01000224",23.0796089209699
"E01000225",25.7642184966356
"E01000226",29.3137512559887
"E01000227",23.0796089209699
"E01000228",23.0796089209699
"E01000229",26.3127535513081
"E01000230",23.1607459606026
"E01000231",24.2419256012341
"E01000232",23.0796089209699
"E01000233",23.0796089209699
"E01000234",24.2419256012341
"E01000235",29.141755102854
"E01000236",23.2374186862639
"E01000237",23.1979662449404
"E01000238",26.0806066256505
"E01000239",27.5290830692468
"E01000240",23.0796089209699
